iter	Logloss
0	0.6868515402
1	0.6813011421
2	0.6766152011
3	0.6711192745
4	0.6662036632
5	0.6604916529
6	0.6559096751
7	0.6505153136
8	0.64555262
9	0.6406623227
10	0.6358251747
11	0.6316418873
12	0.6271117665
13	0.6228154492
14	0.6189242512
15	0.6148952967
16	0.6109008436
17	0.6069231494
18	0.6029884305
19	0.5984835432
20	0.594573325
21	0.5905229892
22	0.5862430504
23	0.5827374198
24	0.579397011
25	0.5752968053
26	0.572080614
27	0.5682906147
28	0.5651215241
29	0.5619174008
30	0.5584193997
31	0.5552849363
32	0.5525039891
33	0.5494259287
34	0.5464046007
35	0.5433573439
36	0.5402098516
37	0.5374838267
38	0.5350180908
39	0.5319476568
40	0.5297923854
41	0.5268678091
42	0.5247122813
43	0.5220164168
44	0.5191293208
45	0.5164154833
46	0.5139831912
47	0.5119040488
48	0.5092834966
49	0.5070841073
50	0.5048025345
51	0.5038096164
52	0.5018015152
53	0.4998046985
54	0.4979487192
55	0.4966704218
56	0.4946979778
57	0.4922365217
58	0.4902334939
59	0.488069274
60	0.4863103674
61	0.4846604228
62	0.4830564963
63	0.481360958
64	0.4792335873
65	0.4779656216
66	0.4770640613
67	0.4754814226
68	0.4735918834
69	0.4719158693
70	0.4704170707
71	0.4688488065
72	0.4681680703
73	0.4666953865
74	0.4652540792
75	0.4634395506
76	0.4622769242
77	0.4608704432
78	0.4601562424
79	0.4589531969
80	0.457548116
81	0.4565257641
82	0.4549430246
83	0.4535257388
84	0.4524343196
85	0.451218268
86	0.4497586727
87	0.4486051077
88	0.4472111884
89	0.4461178894
90	0.4445425531
91	91	0.4333487205
92	0.4327640802
93	0.4315435259
94	0.4301902395	95	0.4285297296	96	0.4277016797	97	0.426113198	098	0.424996799	099	0.4240514656
100	0.4229968109
101	0.4217797649
102	0.421103	0.43103	0.420104	0.4361882346
105	0.4354342869
106	0.43106	0.4167848819
107	0.4159392741
108	0.4149468181
109	0.4139536111
110	0.4130518406
111	0.4123313153
112	0.411530144
113	0.4107750013
114	0.4095885202
115	0.4087681428
116	0.4079973421
117	0.4073763816
118	0.4067850692
119	0.4061408383
120	0.4058373432
121	0.4050797234
122	0.4040283678
123	0.403136057
124	0.4023386856
125	0.4016364023
126	0.4007833103
127	0.400112055
128	0.3992593488
129	0.3986243332
130	0.3974750793
131	0.396915489
132	0.3959095904
133	0.3952369634
134	0.394365809
135	0.3935448124
136	0.3929039815
137	0.3921481739
138	0.3912407807
139	0.3907048402
140	0.3901760137
141	0.3891760562
142	0.3884934575
143	0.3877116736
144	0.3870711305
145	0.3863513374
146	0.3857389134
147	0.3855581031
148	0.3848608808
149	0.3840602399
150	0.3834565159
151	0.3829390726
152	0.3821086104
153	0.3813532345
154	0.380855232
155	0.3801816475
156	0.3795571271
157	0.3793574606
158	0.378867257
159	0.3784483981
160	0.3777220488
161	0.3770550072
162	0.376359679
163	0.3757969475
164	0.375498365
165	0.375187267
166	0.374838027
167	0.3744455561
168	0.3740328714
169	0.3734610051
170	0.372685008
171	0.3722155794
172	0.3718030274
173	0.3711932871
174	0.3707264121
175	0.3703297229
176	0.3698193031
177	0.3693325008
178	0.3688258088
179	0.3687176137
180	0.3683973602
181	0.3678538229
182	0.3677186714
183	0.3672334968
184	0.366865679
185	0.366425067
186	0.3661271799
187	0.3657225104
188	0.3655875142
189	0.3648684213
190	0.364374532
191	0.3640017661
192	0.3637443547
193	0.3635359209
194	0.3630818926
195	0.362716866
196	0.3623666572
197	0.3621621899
198	0.36194329
199	0.3613261897
200	0.360807381
201	0.3604355531
202	0.3600798399
203	0.3599359585
204	0.3595582703
205	0.3593359869
206	0.3588910062
207	0.3584999417
208	0.3581105729
209	0.3578004675
210	0.3573598011
211	0.3570258892
212	0.3566611963
213	0.3562997886
214	0.3559618693
215	0.3553260122
216	0.3549901047
217	0.3546863821
218	0.3540280929
219	0.353792518
220	0.3534394417
221	0.3531495453
222	0.3529518671
223	0.3527736468
224	0.3522691598
225	0.3519891234
226	0.3517201087
227	0.3515556106
228	0.3511071406
229	0.3506080082
230	0.3501187027
231	0.3499079939
232	0.349652529
233	0.3490626194
234	0.3486031239
235	0.3484628146
236	0.3484018927
237	0.3480879088
238	0.3478201174
239	0.3473633449
240	0.347093436
241	0.346843997
242	0.346487375
243	0.3461791815
244	0.3458323122
245	0.3456400016
246	0.3451399003
247	0.3449074001
248	0.3446084434
249	0.3442860502
250	0.3438873823
251	0.3435939579
252	0.343287848
253	0.3429818964
254	0.342845312
255	0.3427138979
256	0.3424848378
257	0.3422715454
258	0.3419977563
259	0.3416907794
260	0.34140137
261	0.3411103241
262	0.3406799698
263	0.340458876
264	0.3400938832
265	0.3398868513
266	0.3398270775
267	0.3394994367
268	0.3392016408
269	0.3388975378
270	0.3386026855
271	0.3383111053
272	0.3380791991
273	0.3380677931
274	0.3377356222
275	0.3374296621
276	0.33725193
277	0.3369228517
278	0.3367120546
279	0.3364914956
280	0.3361348565
281	0.3356315729
282	0.3353003832
283	0.3351496248
284	0.3346320539
285	0.3344841472
286	0.3344630911
287	0.3341761302
288	0.3340730029
289	0.3338570145
290	0.3338034609
291	0.3335549103
292	0.3334346072
293	0.3330070337
294	0.3327314936
295	0.332333033
296	0.3321534397
297	0.3320750048
298	0.3317314216
299	0.3315163537
300	0.3312953559
301	0.3308581167
302	0.3306757795
303	0.3304520753
304	0.3303220618
305	0.3300604258
306	0.3300017295
307	0.3297947099
308	0.3294300005
309	0.3291764638
310	0.328973975
311	0.3288247004
312	0.3284714685
313	0.3282211931
314	0.3279902555
315	0.3278745056
316	0.3277658238
317	0.3275508429
318	0.327182182
319	0.3268788152
320	0.326669147
321	0.3265344094
322	0.3262100159
323	0.3261856057
324	0.3259626931
325	0.3257963111
326	0.3255737565
327	0.3253793423
328	0.3251463198
329	0.3251072638
330	0.3249608522
331	0.324625403
332	0.324369003
333	0.3241705221
334	0.3239120967
335	0.3238719541
336	0.3238039962
337	0.3235238064
338	0.3234551105
339	0.3233171186
340	0.3231702518
341	0.3231369649
342	0.3228113685
343	0.3227052211
344	0.322531303
345	0.3222962611
346	0.3220699073
347	0.321928174
348	0.3217231815
349	0.3214053701
350	0.3212299337
351	0.3210781442
352	0.3208071303
353	0.3206424246
354	0.3204353676
355	0.320350996
356	0.3199813286
357	0.3197802536
358	0.3194429776
359	0.3192484053
360	0.3189934063
361	0.3187681265
362	0.3186327604
363	0.3185536973
364	0.3183411125
365	0.3182641288
366	0.3181096321
367	0.3180012996
368	0.3177770615
369	0.3174300249
370	0.3172208276
371	0.3169033595
372	0.3167683632
373	0.3164682265
374	0.3164168052
375	0.3160460778
376	0.3159133198
377	0.3158520051
378	0.3157937901
379	0.3157554704
380	0.3154986817
381	0.3153750572
382	0.3152105161
