iter	Passed	Remaining
402	8109	12012
403	8126	11988
404	8139	11958
405	8157	11934
406	8171	11906
407	8183	11874
408	8195	11842
409	8211	11816
410	8228	11791
411	8245	11767
412	8268	11752
413	8284	11726
414	8304	11706
415	8321	11682
416	8338	11658
417	8353	11631
418	8368	11604
419	8383	11577
420	8397	11549
421	8415	11526
422	8431	11500
423	8450	11480
424	8465	11452
425	8484	11431
426	8498	11404
427	8517	11383
428	8532	11356
429	8550	11333
430	8566	11309
431	8582	11284
432	8597	11258
433	8612	11232
434	8638	11219
435	8656	11197
436	8675	11176
437	8687	11146
438	8704	11124
439	8719	11097
440	8737	11075
441	8753	11050
442	8771	11028
443	8785	11001
444	8803	10979
445	8822	10958
446	8839	10936
447	8858	10914
448	8873	10889
449	8890	10866
450	8908	10844
451	8923	10818
452	8938	10793
453	8955	10770
454	8972	10746
455	8991	10726
456	9010	10706
457	9033	10690
458	9052	10669
459	9066	10643
460	9079	10615
461	9094	10590
462	9112	10568
463	9124	10540
464	9139	10514
465	9153	10489
466	9169	10464
467	9185	10441
468	9202	10419
469	9218	10394
470	9236	10373
471	9250	10348
472	9273	10332
473	9287	10306
474	9305	10285
475	9322	10262
476	9341	10242
477	9354	10215
478	9374	10196
479	9390	10172
480	9403	10146
481	9416	10119
482	9431	10094
483	9449	10073
484	9467	10053
485	9483	10029
486	9501	10008
487	9520	9989
488	9536	9965
489	9554	9944
490	9587	9938
491	9605	9918
492	9630	9903
493	9645	9880
494	9657	9852
495	9669	9825
496	9681	9798
497	9694	9772
498	9705	9744
499	9716	9716
500	9727	9688
501	9740	9663
502	9753	9636
503	9764	9609
504	9774	9581
505	9784	9552
506	9793	9523
507	9804	9495
508	9815	9468
509	9824	9439
510	9832	9408
511	9840	9379
512	9848	9349
513	9858	9321
69	10861
507	11189	10837
508	11206	10810
509	11226	10786
510	11245	10760
511	11260	10733
512	11280	10708
513	11298	10682
514	11308	10649
515	11325	10623
516	11342	10596
517	11360	10570
518	11378	10545
519	11397	10520
520	11414	10494
521	11435	10471
522	11449	10442
523	11471	10421
524	11490	10395
525	11508	10370
526	11524	10343
527	11540	10316
528	11560	10292
529	11580	10269
530	11600	10245
531	11619	10221
532	11636	10195
533	11649	10166
534	11665	10139
535	11690	10119
649
539	11295	9622
540	11311	9596
541	11328	9572
542	11346	9549
543	11362	9524
544	11377	9498
545	11392	9472
546	11407	9446
547	11424	9422
548	11441	9399
549	11457	9373
550	11477	9352
551	11494	9328
552	11508	9302
553	11527	9280
554	11549	9260
555	11567	9237
556	11590	9218
557	11617	9202
558	11631	9175
559	11642	9148
560	11655	9120
561	11667	9093
562	11683	9069
563	11698	9043
564	11713	9018
565	11727	8992
718
571	11625	8698
572	11642	8675
573	11659	8653
574	11676	8630
575	11690	8605
576	11713	8587
577	11729	8563
578	11740	8536
579	11757	8514
580	11771	8489
581	11785	8464
582	11803	8442
583	11819	8419
584	11842	8401
585	11857	8377
586	11874	8354
587	11885	8328
588	11898	8302
589	11912	8277
590	11921	8250
591	11933	8224
592	11943	8196
593	11952	8169
0	11983	8293
591	11996	8267
592	12007	8241
593	12016	8213
594	12025	8185
595	12033	8157
596	12042	8129
597	12052	8101
598	12060	8073
599	12068	8045
600	12076	8017
601	12083	7988
602	12090	7959
603	12097	7931
604	12106	7904
611	12002	7609
612	12010	7582
613	12016	7554
614	12023	7527
615	12032	7500
616	12039	7473
617	12047	7446
618	12053	7418
619	12058	7390
620	12064	7363
621	12070	7335
622	12076	7308
623	12082	7280
624	12088	7253
625	12094	7226
626	12099	7197
627	12103	7169
628	12107	7141
629	12112	7113
630	12117	7085
631	12122	7058
632	12127	7031
633	12132	7004
634	12137	6976
635	12141	6949
636	12146	6921
637	12150	6894
638	12154	6866
639	12159	6839
640	12163	6812
641	12167	6785
